arch,library,host,group,matrix,n,nnz_upper,mtype,cores,rep,analyze_s,factor_s,factor_gflops,factor_nnz,fill_ratio,solve1_s,solve8_s,solve40_s,logdet,status
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,1,3,0.019390,0.005818,11.859,306072,7.127,0.000321,0.001450,0.004572,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,2,1,0.019220,0.003273,20.165,296760,6.911,0.000184,0.001184,0.002764,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,2,2,0.019259,0.003285,20.092,296760,6.911,0.000183,0.001188,0.002779,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,2,3,0.020401,0.003263,20.227,296760,6.911,0.000183,0.001153,0.002758,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,4,1,0.019401,0.002745,24.044,296760,6.911,0.000164,0.000963,0.001974,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,4,2,0.019494,0.002745,24.044,296760,6.911,0.000179,0.000940,0.001997,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,4,3,0.019528,0.002769,23.835,296760,6.911,0.000177,0.000929,0.001892,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,8,1,0.019757,0.001918,33.371,293784,6.841,0.000187,0.001253,0.001552,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,8,2,0.020119,0.001989,32.175,293784,6.841,0.000191,0.001306,0.001712,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,8,3,0.019796,0.001953,32.772,293784,6.841,0.000193,0.001303,0.001758,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,16,1,0.020540,0.001685,37.979,293784,6.841,0.000153,0.001122,0.001501,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,16,2,0.021150,0.001667,38.392,293784,6.841,0.000152,0.001204,0.001492,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,16,3,0.020965,0.001751,36.552,293784,6.841,0.000158,0.001129,0.001485,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,32,1,0.022544,0.001552,41.234,293784,6.841,0.000149,0.001158,0.001717,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,32,2,0.022081,0.001538,41.611,293784,6.841,0.000176,0.001124,0.001757,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,32,3,0.022449,0.001542,41.502,293784,6.841,0.000157,0.001191,0.001759,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,40,1,0.023555,0.001666,38.419,293784,6.841,0.000219,0.001190,0.001813,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,40,2,0.023715,0.001562,40.970,293784,6.841,0.000243,0.001190,0.001678,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,40,3,0.024484,0.001550,41.291,293784,6.841,0.000223,0.001155,0.001744,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,1,1,0.014012,0.002210,5.430,132427,4.058,0.000167,0.000938,0.002792,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,1,2,0.013323,0.002223,5.398,132427,4.058,0.000166,0.000930,0.002795,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,1,3,0.013328,0.002206,5.440,132427,4.058,0.000166,0.000934,0.002791,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,2,1,0.013141,0.001282,8.580,128987,3.953,0.000161,0.000796,0.001681,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,2,2,0.013135,0.001283,8.573,128987,3.953,0.000161,0.000796,0.001665,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,2,3,0.013063,0.001296,8.487,128987,3.953,0.000160,0.000809,0.001681,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,4,1,0.013388,0.001036,10.616,128987,3.953,0.000162,0.000614,0.001263,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,4,2,0.013331,0.001041,10.567,128987,3.953,0.000161,0.000713,0.001351,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,4,3,0.013334,0.001059,10.387,128987,3.953,0.000162,0.000703,0.001275,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,8,1,0.013629,0.000655,16.796,128651,3.943,0.000159,0.000830,0.001137,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,8,2,0.013982,0.000614,17.917,128651,3.943,0.000161,0.000814,0.001188,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,8,3,0.014015,0.000598,18.396,128651,3.943,0.000160,0.000795,0.001162,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,16,1,0.014773,0.000577,19.065,128651,3.943,0.000161,0.000717,0.001123,30355.02062,ok
