matrix,n,nnz,source,sTiles,PARDISO,MUMPS,CHOLMOD,PaStiX,symPACK
apache2,715176,4817870,SuiteSparse,11.309000,3.831431,6.133577,6.878575,2.355368,7.683070
audikw_1,943695,77651847,SuiteSparse,88.185000,13.452369,10.797465,13.744574,7.861705,13.486800
bcsstk08,1074,12960,SuiteSparse,0.015000,0.011577,0.002747,0.002101,0.021761,0.023194
bcsstk09,1083,18437,SuiteSparse,0.016000,0.012030,0.001534,0.001437,0.015814,0.011871
bcsstk10,1086,22070,SuiteSparse,0.009000,0.007867,0.000728,0.000727,0.010767,0.009153
bcsstk11,1473,34241,SuiteSparse,0.015000,0.010276,0.001190,0.001393,0.014417,0.010084
bcsstk13,2003,83883,SuiteSparse,0.058000,0.023555,0.003702,0.004378,0.038982,0.024267
bcsstk14,1806,63454,SuiteSparse,0.034000,0.017046,0.002179,0.002558,0.029541,0.019396
bcsstk15,3948,117816,SuiteSparse,0.111000,0.040503,0.006998,0.007046,0.055592,0.048534
bcsstk16,4884,290378,SuiteSparse,0.160000,0.032398,0.005855,0.007540,0.035113,0.031649
bcsstk17,10974,428650,SuiteSparse,0.154000,0.069424,0.051755,0.014222,0.061630,0.069350
bcsstk18,11948,149090,SuiteSparse,0.246000,0.078420,0.084695,0.016030,0.078268,0.130088
bmw3_2,227362,11288630,SuiteSparse,3.748000,1.291345,0.959746,1.212996,0.912056,1.224130
bmw7st_1,141347,7339667,SuiteSparse,2.553000,0.761631,0.472465,0.629039,0.571700,0.682178
bone010,986703,71666325,SuiteSparse,71.553000,9.233067,8.666426,11.720591,6.554842,11.632300
boneS01,127224,6715152,SuiteSparse,3.405000,0.868420,0.765868,0.934578,0.677556,0.928587
boneS10,914898,55468422,SuiteSparse,38.504000,7.589238,6.852484,8.959718,4.938129,8.701420
bundle1,10581,770901,SuiteSparse,0.098000,0.111204,0.034175,0.014419,0.095367,0.152505
consph,83334,6010480,SuiteSparse,6.281000,0.688768,0.581558,0.747095,0.711507,0.822759
crankseg_1,52804,10614210,SuiteSparse,2.973000,0.859663,0.457680,0.683298,0.793863,0.606862
crankseg_2,63838,14148858,SuiteSparse,3.980000,1.102433,0.564845,0.850805,1.035124,0.757140
ct20stif,52329,2698463,SuiteSparse,1.127000,0.372648,0.301426,0.362986,0.275208,0.506025
ecology2,999999,4995991,SuiteSparse,7.630000,3.078673,5.451162,0.673269,1.648240,6.806570
Emilia_923,923136,41005206,SuiteSparse,114.611000,8.087205,7.192886,8.931855,7.108668,8.833330
