arch,library,host,group,matrix,n,nnz_upper,mtype,cores,rep,analyze_s,factor_s,factor_gflops,factor_nnz,fill_ratio,solve1_s,solve8_s,solve40_s,logdet,status
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_50000_bw15000.mtx,50000,7286160,2,40,1,14.989110,11.184001,63.21,134280676,18.4296,0,0,0,716715.217529,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_50400_bw2.mtx,50400,23854872,2,1,1,11.778473,146.686625,67.38,644622307,27.0227,0,0,0,464200.468611,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_50400_bw2.mtx,50400,23854872,2,2,1,11.780072,74.674157,132.35,644622307,27.0227,0,0,0,464200.468611,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_50400_bw2.mtx,50400,23854872,2,4,1,11.794561,38.407825,257.32,644622307,27.0227,0,0,0,464200.468611,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_50400_bw2.mtx,50400,23854872,2,8,1,11.794403,20.118361,491.24,644622307,27.0227,0,0,0,464200.468611,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_50400_bw2.mtx,50400,23854872,2,16,1,11.793928,12.370550,798.92,644622307,27.0227,0,0,0,464200.468611,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_50400_bw2.mtx,50400,23854872,2,32,1,11.784690,7.704364,1282.78,644622307,27.0227,0,0,0,464200.468611,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_50400_bw2.mtx,50400,23854872,2,40,1,11.790697,7.161067,1380.11,644622307,27.0227,0,0,0,464200.468611,ok
intel,cholmod-5,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,1,1,0.002626,0.001959,0.92,31153,4.4396,0,0,0,14650.230028,ok
intel,cholmod-5,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,2,1,0.002106,0.002037,0.89,31153,4.4396,0,0,0,14650.230028,ok
intel,cholmod-5,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,4,1,0.002112,0.001988,0.91,31153,4.4396,0,0,0,14650.230028,ok
