matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,best,best@c
bcsstk18,11948,80519,0.027507,0.018895,0.010647,0.008595,0.009709,0.390292,0.747340,0.008595,8
bmw3_2,227362,5757996,1.646720,0.940139,0.492410,0.252695,0.151161,0.095838,0.098293,0.095838,32
bmw7st_1,141347,3740507,0.677139,0.404797,0.210829,0.111106,0.060266,0.046425,0.045200,0.045200,40
bone010,986703,36326514,207.328337,118.904602,60.450571,28.257002,16.139059,10.876176,10.004788,10.004788,40
boneS01,127224,3421188,2.078328,1.203378,0.604365,0.324541,0.173516,0.120198,0.111121,0.111121,40
boneS10,914898,28191660,13.836971,7.352539,3.732649,2.072945,1.221707,0.858046,0.887394,0.858046,32
bundle1,10581,390741,0.029762,0.021649,0.013104,0.009127,0.007488,0.439836,0.511082,0.007488,16
consph,83334,3046907,5.040887,2.930895,1.468483,0.760836,0.396165,0.277953,0.329826,0.277953,32
crankseg_1,52804,5333507,1.451154,0.832870,0.426042,0.217935,0.125288,0.082360,0.090635,0.082360,32
crankseg_2,63838,7106348,2.140326,1.257034,0.647121,0.336774,0.183504,0.125676,0.116715,0.116715,40
ct20stif,52329,1375396,0.308198,0.190594,0.102496,0.050609,0.028803,0.028302,0.031185,0.028302,32
ecology2,999999,2997995,1.534123,0.895988,0.505489,0.263224,0.201855,0.132094,0.134941,0.132094,32
gyro_k,17361,519260,0.027655,0.017368,0.010094,0.007186,0.005886,0.156252,0.269710,0.005886,16
gyro_m,17361,178896,0.013215,0.007649,0.004633,0.003262,0.003369,0.157002,0.333031,0.003262,8
hood,220542,5494489,0.539969,0.350514,0.181683,0.099840,0.067217,0.058165,0.058318,0.058165,32
inla_graph_83o4NNNo,25853,778924,0.080323,0.052097,0.040312,0.045846,0.054955,0.087245,0.084304,0.040312,4
inla_graph_8rtKSK,7860,32965,0.003410,0.003012,0.002840,0.002658,0.063144,0.169722,0.343825,0.002658,8
inla_graph_animal1,5126,2644501,1.042166,0.593501,0.301821,0.154084,1.142573,2.441062,3.056074,0.154084,8
